Date,Label,Location,Description,Image
09/01/1939 AD,Invasion of Poland,"Poland / Eastern Europe","Nazi German forces launch a massive surprise invasion of Poland utilizing Blitzkrieg tactics, combining rapid armored thrusts with close air support. In response to the aggression, Great Britain and France declare war on Germany on September 3, marking the official outbreak of World War II in Europe.",https://images.unsplash.com/photo-1579965342575-16428a7c8881?auto=format&fit=crop&w=1000&q=80
09/03/1939 - 05/08/1945 AD,Battle of the Atlantic,"Atlantic Ocean, North Sea & Caribbean","The longest continuous military campaign in World War II. German U-boat 'wolfpacks' and surface raiders duel with Allied naval convoys and anti-submarine air patrols to control transatlantic supply lanes vital to Britain and the Soviet Union's survival.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
05/10/1940 - 06/25/1940 AD,Battle of France,"France, Belgium, Luxembourg & Netherlands","German forces execute Fall Gelb and Fall Rot, bypassing the Maginot Line by striking through the dense Ardennes forest. The rapid six-week campaign overwhelms Allied armies, resulting in the French armistice and the division of France into occupied and Vichy zones.",https://images.unsplash.com/photo-1509198397868-475647b2a1e5?auto=format&fit=crop&w=1000&q=80
05/26/1940 - 06/04/1940 AD,Miracle of Dunkirk (Operation Dynamo),"Dunkirk, Northern France","Allied naval forces and a flotilla of hundreds of civilian 'little ships' evacuate 338,226 British and French soldiers stranded on the beaches of Dunkirk, rescuing the core of the British Army from complete encirclement by German forces.",https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?auto=format&fit=crop&w=1000&q=80
06/10/1940 - 05/13/1943 AD,North African Campaign,"Egypt, Libya & Tunisia","A three-year strategic conflict in the deserts of North Africa. British Commonwealth, American, and Free French forces fight Italian and German troops (the Afrika Korps led by Erwin Rommel) for control of the Suez Canal and Middle Eastern oil fields.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
07/10/1940 - 10/31/1940 AD,Battle of Britain,"United Kingdom & English Channel Skies","The Royal Air Force (RAF) engages in the first major military campaign fought entirely by air forces, fiercely defending British skies against relentless bombing raids by the German Luftwaffe and preventing Operation Sea Lion.",https://images.unsplash.com/photo-1519074069444-1ba4fff16def?auto=format&fit=crop&w=1000&q=80
06/22/1941 AD,Operation Barbarossa,"Soviet Union / Eastern Front","Over 3.8 million Axis personnel launch the largest land invasion in human history against the Soviet Union along a 2,900-kilometer front, opening the Eastern Front and drawing the USSR into a total war of survival.",https://images.unsplash.com/photo-1447752875215-b2761acb3c5d?auto=format&fit=crop&w=1000&q=80
09/08/1941 - 01/27/1944 AD,Siege of Leningrad,"Leningrad (St. Petersburg), USSR","A prolonged military blockade undertaken by the German Army Group North and Finnish forces. Lasting 872 days, the siege caused widespread starvation and claimed over 1 million civilian lives before Soviet forces completely lifted the encirclement.",https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=1000&q=80
12/07/1941 AD,Attack on Pearl Harbor,"Oahu, Hawaii, United States","A carrier-based strike force of the Imperial Japanese Navy launches a devastating surprise aerial attack on the United States Pacific Fleet stationed at Pearl Harbor, Hawaii, bringing the United States directly into World War II.",https://images.unsplash.com/photo-1508614589041-895b88991e3e?auto=format&fit=crop&w=1000&q=80
06/04/1942 - 06/07/1942 AD,Battle of Midway,"Midway Atoll, Central Pacific Ocean","In a decisive four-day naval and air clash near Midway Atoll, US Navy cryptanalysts and dive bombers ambush and sink all four Japanese fleet aircraft carriers (Akagi, Kaga, Soryu, and Hiryu), permanently turning the tide of the Pacific War.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
