Date,Label,Location,Description,Image
01/01/1863 AD,Emancipation Proclamation,"Washington, D.C.","President Abraham Lincoln issues the Emancipation Proclamation during the American Civil War, declaring 'that all persons held as slaves' within the rebellious Confederate states 'are, and henceforward shall be free.'",https://images.unsplash.com/photo-1541872703-74c5e44368f9?auto=format&fit=crop&w=1000&q=80
1865 - 1877 AD,Reconstruction Era,"United States (Southern States)","A transformative period following the Civil War aimed at reintegrating the Southern states and establishing legal, political, and economic rights for newly emancipated African Americans, establishing historic civil rights protections before being dismantled.",https://images.unsplash.com/photo-1509198397868-475647b2a1e5?auto=format&fit=crop&w=1000&q=80
12/06/1865 AD,Ratification of the 13th Amendment,"Washington, D.C.","The 13th Amendment to the United States Constitution is officially ratified, abolishing slavery and involuntary servitude across the entire nation, except as a punishment for a crime.",https://images.unsplash.com/photo-1589829545856-d10d557cf95f?auto=format&fit=crop&w=1000&q=80
04/09/1866 AD,Civil Rights Act of 1866,"Washington, D.C.","Congress enacts the nation's first federal civil rights statute, declaring all persons born in the United States to be citizens regardless of race or previous condition of slavery, passed over President Andrew Johnson's veto.",https://images.unsplash.com/photo-1455390582262-044cdead277a?auto=format&fit=crop&w=1000&q=80
07/09/1868 AD,Ratification of the 14th Amendment,"Washington, D.C.","The 14th Amendment is ratified, granting citizenship to all persons born or naturalized in the U.S. and guaranteeing all citizens equal protection of the laws and due process, creating the constitutional bedrock of modern civil rights.",https://images.unsplash.com/photo-1589829545856-d10d557cf95f?auto=format&fit=crop&w=1000&q=80
02/03/1870 AD,Ratification of the 15th Amendment,"Washington, D.C.","The 15th Amendment is ratified, prohibiting the federal government and states from denying or abridging a citizen's right to vote based on 'race, color, or previous condition of servitude.'",https://images.unsplash.com/photo-1541872703-74c5e44368f9?auto=format&fit=crop&w=1000&q=80
02/25/1870 AD,Hiram Revels Sworn In as First Black Senator,"Washington, D.C. & Mississippi","Hiram Rhodes Revels takes the oath of office as a Republican Senator representing Mississippi, becoming the first African American ever seated in the United States Congress.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
03/01/1875 AD,Civil Rights Act of 1875,"Washington, D.C.","Congress passes landmark legislation affirming the equality of all men before the law and prohibiting racial discrimination in public accommodations, transportation, and jury service.",https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?auto=format&fit=crop&w=1000&q=80
03/02/1877 AD,Compromise of 1877 & Rise of Jim Crow,"Washington, D.C. & Southern States","An unwritten political deal settles the disputed 1876 presidential election by awarding Rutherford B. Hayes the presidency in exchange for the withdrawal of federal troops from the South, marking the end of Reconstruction and ushering in state-sanctioned Jim Crow segregation laws and disenfranchisement.",https://images.unsplash.com/photo-1502602898657-3e91760cbb34?auto=format&fit=crop&w=1000&q=80
05/18/1896 AD,Plessy v. Ferguson Supreme Court Ruling,"New Orleans, Louisiana & Washington, D.C.","The Supreme Court upholds Louisiana state racial segregation laws for railroad cars in a 7–1 decision, legalizing the doctrine of 'separate but equal' and giving federal constitutional sanction to Jim Crow laws across the nation.",https://images.unsplash.com/photo-1589829545856-d10d557cf95f?auto=format&fit=crop&w=1000&q=80
07/11/1905 - 07/14/1905 AD,Founding of the Niagara Movement,"Fort Erie, Ontario / Niagara Falls","Led by W.E.B. Du Bois and William Monroe Trotter, a group of 29 Black intellectuals and activists gather near Niagara Falls to draft a manifesto demanding full civil liberties, voting rights, and an end to racial segregation.",https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=1000&q=80
02/12/1909 AD,Founding of the NAACP,"New York City, New York","Founded on the centennial of Abraham Lincoln's birth by an interracial coalition including W.E.B. Du Bois, Ida B. Wells, Mary White Ovington, and Moorfield Storey, the National Association for the Advancement of Colored People is established to wage legal and political campaigns against racial injustice and lynching.",https://images.unsplash.com/photo-1529156069898-49953e39b3ac?auto=format&fit=crop&w=1000&q=80
1916 - 1970 AD,The Great Migration,"Southern to Northern & Western Cities","A monumental demographic movement in which more than six million African Americans migrate from the rural South to the urban Northeast, Midwest, and West to escape Jim Crow terror and seek industrial employment opportunities, transforming American urban culture.",https://images.unsplash.com/photo-1519074069444-1ba4fff16def?auto=format&fit=crop&w=1000&q=80
05/10/1919 - 10/01/1919 AD,Red Summer of 1919,"Chicago, Washington D.C., Elaine (AR) & Nationwide","A wave of violent white supremacist anti-Black riots and massacres erupts across more than three dozen American cities during the post-WWI summer, met with unprecedented armed Black self-defense and community resistance.",https://images.unsplash.com/photo-1533105079780-92b9be482077?auto=format&fit=crop&w=1000&q=80
05/31/1921 - 06/01/1921 AD,Tulsa Race Massacre (Tulsa Riot),"Greenwood District, Tulsa, Oklahoma","A heavily armed white mob attacks, burns, and loots the affluent African American Greenwood community—widely known as 'Black Wall Street'. Up to 300 Black residents are killed, more than 1,200 homes and businesses are destroyed, and over 10,000 residents are left homeless in one of the deadliest racial terror massacres in American history.",https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=1000&q=80
1920 - 1938 AD,Harlem Renaissance,"Harlem, New York City","An extraordinary cultural, artistic, and intellectual revival centered in Harlem, celebrating Black identity and producing iconic works by Langston Hughes, Zora Neale Hurston, Duke Ellington, Claude McKay, and Louis Armstrong.",https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=1000&q=80
08/25/1925 AD,Brotherhood of Sleeping Car Porters Organized,"New York City & Chicago","Labor organizer A. Philip Randolph leads the establishment of the Brotherhood of Sleeping Car Porters, the first labor union led by African Americans to receive a charter in the American Federation of Labor (AFL), forming an economic backbone for civil rights activism.",https://images.unsplash.com/photo-1560969184-10fe8719e047?auto=format&fit=crop&w=1000&q=80
03/25/1931 - 04/09/1931 AD,Scottsboro Boys Arrest & Trials,"Paint Rock & Scottsboro, Alabama","Nine Black teenagers are falsely accused of rape in Alabama. The international outcry and landmark Supreme Court appeals (Powell v. Alabama and Norris v. Alabama) establish fundamental legal precedents guaranteeing the right to effective legal counsel and prohibiting the exclusion of Black jurors.",https://images.unsplash.com/photo-1508614589041-895b88991e3e?auto=format&fit=crop&w=1000&q=80
06/25/1941 AD,Executive Order 8802 (Fair Employment Practice Committee),"Washington, D.C.","Pressured by A. Philip Randolph's threatened March on Washington, President Franklin D. Roosevelt issues Executive Order 8802, banning racial discrimination in the defense industry and creating the Fair Employment Practice Committee (FEPC).",https://images.unsplash.com/photo-1447752875215-b2761acb3c5d?auto=format&fit=crop&w=1000&q=80
04/15/1947 AD,Jackie Robinson Integrates Major League Baseball,"Ebbets Field, Brooklyn, New York","Jackie Robinson starts at first base for the Brooklyn Dodgers, breaking baseball's six-decade color barrier and becoming a powerful national symbol for integration in American society.",https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1000&q=80
07/26/1948 AD,Executive Order 9981 (Desegregation of the Military),"Washington, D.C.","President Harry S. Truman issues Executive Order 9981, officially abolishing racial discrimination and establishing equality of treatment and opportunity for all persons in the United States Armed Forces, leading to the desegregation of military units.",https://images.unsplash.com/photo-1541872703-74c5e44368f9?auto=format&fit=crop&w=1000&q=80
05/17/1954 AD,Brown v. Board of Education Ruling,"Topeka, Kansas & Washington, D.C.","In a unanimous 9–0 decision delivered by Chief Justice Earl Warren, the Supreme Court rules that racial segregation in public schools violates the Equal Protection Clause of the 14th Amendment, overturning the 1896 'separate but equal' doctrine established in Plessy v. Ferguson.",https://images.unsplash.com/photo-1589829545856-d10d557cf95f?auto=format&fit=crop&w=1000&q=80
08/28/1955 - 09/23/1955 AD,Murder of Emmett Till & Trial,"Money & Sumner, Mississippi","Fourteen-year-old African American Emmett Till is brutally lynched in Mississippi after being accused of offending a white woman. His mother Mamie Till-Mobley insists on an open-casket funeral to expose the brutality, galvanizing the national civil rights movement when the all-white jury acquits the perpetrators.",https://images.unsplash.com/photo-1509198397868-475647b2a1e5?auto=format&fit=crop&w=1000&q=80
12/05/1955 - 12/20/1956 AD,Montgomery Bus Boycott,"Montgomery, Alabama","Sparked by Rosa Parks' arrest for refusing to surrender her bus seat, the Black community in Montgomery stages a 381-day boycott of municipal buses led by 26-year-old pastor Dr. Martin Luther King Jr., culminating in the Supreme Court ruling Browder v. Gayle outlawing bus segregation.",https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?auto=format&fit=crop&w=1000&q=80
01/10/1957 - 02/14/1957 AD,Founding of the SCLC,"Atlanta, Georgia & New Orleans, Louisiana","Civil rights leaders including Dr. Martin Luther King Jr., Ralph Abernathy, Fred Shuttlesworth, and Bayard Rustin convene to establish the Southern Christian Leadership Conference (SCLC) to coordinate nonviolent direct action protests against segregation across the South.",https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=1000&q=80
09/04/1957 - 09/25/1957 AD,Little Rock Central High School Crisis,"Little Rock, Arkansas","Arkansas Governor Orval Faubus deploys the National Guard to block nine African American students ('Little Rock Nine') from integrating Central High School. President Dwight D. Eisenhower federalizes the National Guard and dispatches the 101st Airborne Division to escort and protect the students.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
02/01/1960 - 07/25/1960 AD,Greensboro Sit-Ins,"Greensboro, North Carolina","Four Black freshmen from North Carolina A&T State University stage a peaceful sit-in at a segregated F. W. Woolworth lunch counter in Greensboro. The nonviolent protest spreads rapidly across 55 Southern cities, leading Woolworth to integrate its dining counters by July.",https://images.unsplash.com/photo-1519074069444-1ba4fff16def?auto=format&fit=crop&w=1000&q=80
04/15/1960 - 04/17/1960 AD,Founding of SNCC at Shaw University,"Raleigh, North Carolina","Organized by veteran civil rights strategist Ella Baker, student sit-in leaders gather at Shaw University to establish the Student Nonviolent Coordinating Committee (SNCC), empowering youth leadership at the forefront of frontline direct-action campaigns.",https://images.unsplash.com/photo-1529156069898-49953e39b3ac?auto=format&fit=crop&w=1000&q=80
05/04/1961 - 12/10/1961 AD,Freedom Rides Across the Deep South,"Washington D.C. to Jackson, Mississippi","Interracial groups of Freedom Riders organized by CORE and SNCC ride interstate buses into the Deep South to test Supreme Court rulings banning segregation. Despite brutal firebombings in Anniston and mob violence in Birmingham and Montgomery, the ICC issues strict enforcement orders banning segregated transit.",https://images.unsplash.com/photo-1579965342575-16428a7c8881?auto=format&fit=crop&w=1000&q=80
11/17/1961 - 08/10/1962 AD,Albany Movement,"Albany, Georgia","A coalition formed by SNCC, the NAACP, and the SCLC conducts citywide boycotts, marches, and mass arrests in Albany, Georgia, testing broad desegregation tactics that proved crucial in preparing strategies for future successful campaigns.",https://images.unsplash.com/photo-1533105079780-92b9be482077?auto=format&fit=crop&w=1000&q=80
09/30/1962 - 10/01/1962 AD,Ole Miss Riot & James Meredith Integration,"Oxford, Mississippi","James Meredith becomes the first African American student to enroll at the University of Mississippi (Ole Miss). Segregationist riots erupt on campus, prompting President John F. Kennedy to deploy 31,000 U.S. Army soldiers and federal marshals to restore order and secure his attendance.",https://images.unsplash.com/photo-1508614589041-895b88991e3e?auto=format&fit=crop&w=1000&q=80
04/03/1963 - 05/10/1963 AD,Birmingham Campaign (Project C),"Birmingham, Alabama","A major nonviolent direct-action campaign organized by the SCLC and ACMHR targeting segregation in Birmingham. Public Safety Commissioner Bull Connor deploys high-pressure firehoses and police dogs against student demonstrators during the Children's Crusade, shocking international conscience.",https://images.unsplash.com/photo-1447752875215-b2761acb3c5d?auto=format&fit=crop&w=1000&q=80
04/16/1963 AD,Letter from Birmingham Jail,"Birmingham Jail, Alabama","While imprisoned for participating in nonviolent demonstrations in Birmingham, Dr. Martin Luther King Jr. writes his seminal manifesto defending nonviolent civil disobedience, declaring that 'Injustice anywhere is a threat to justice everywhere.'",https://images.unsplash.com/photo-1455390582262-044cdead277a?auto=format&fit=crop&w=1000&q=80
06/11/1963 AD,Stand in the Schoolhouse Door & JFK Civil Rights Address,"Tuscaloosa, Alabama & Washington D.C.","Alabama Governor George Wallace symbolically blocks the doorway at the University of Alabama to prevent Black students Vivian Malone and James Hood from enrolling until federalized National Guardsmen intervene. That evening, President John F. Kennedy delivers a historic nationwide address defining civil rights as a moral issue.",https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7?auto=format&fit=crop&w=1000&q=80
06/12/1963 AD,Assassination of Medgar Evers,"Jackson, Mississippi","Medgar Evers, the first field secretary for the NAACP in Mississippi and World War II veteran, is assassinated in his driveway by a white supremacist Ku Klux Klan member hours after JFK's address, sparking national outrage and intensifying demands for federal civil rights legislation.",https://images.unsplash.com/photo-1552832230-c0197dd311b5?auto=format&fit=crop&w=1000&q=80
08/28/1963 AD,March on Washington for Jobs and Freedom,"Lincoln Memorial, Washington, D.C.","Over 250,000 civil rights demonstrators assemble at the Lincoln Memorial in Washington, D.C. Dr. Martin Luther King Jr. delivers his iconic 'I Have a Dream' speech calling for an end to racism and equality of economic opportunity, in one of the largest political rallies in American history.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
09/15/1963 AD,16th Street Baptist Church Bombing,"Birmingham, Alabama","Ku Klux Klan terrorists detonate a dynamite bomb during Sunday morning service at the 16th Street Baptist Church in Birmingham, killing four young African American girls (Addie Mae Collins, Denise McNair, Carole Robertson, and Cynthia Wesley) and injuring 22 others.",https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=1000&q=80
06/15/1964 - 08/30/1964 AD,Freedom Summer (Mississippi Summer Project),"Mississippi","Over 1,000 out-of-state volunteers join Black Mississippians in a massive campaign organized by the Council of Federated Organizations (COFO) to register Black voters and establish Freedom Schools. The campaign withstands violent terror including the murder of workers James Chaney, Andrew Goodman, and Michael Schwerner.",https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?auto=format&fit=crop&w=1000&q=80
07/02/1964 AD,Passage of the Civil Rights Act of 1964,"Washington, D.C.","President Lyndon B. Johnson signs the landmark Civil Rights Act of 1964 into law. The legislation outlaws discrimination based on race, color, religion, sex, or national origin, mandates the desegregation of public accommodations, and establishes the Equal Employment Opportunity Commission (EEOC).",https://images.unsplash.com/photo-1589829545856-d10d557cf95f?auto=format&fit=crop&w=1000&q=80
02/21/1965 AD,Assassination of Malcolm X,"Audubon Ballroom, New York City","Influential human rights activist, orator, and Pan-Africanist leader Malcolm X (el-Hajj Malik el-Shabazz) is assassinated at age 39 while preparing to address the Organization of Afro-American Unity at the Audubon Ballroom in Manhattan.",https://images.unsplash.com/photo-1502602898657-3e91760cbb34?auto=format&fit=crop&w=1000&q=80
03/07/1965 - 03/25/1965 AD,Selma to Montgomery Marches,"Selma to Montgomery, Alabama","Voting rights marchers led by John Lewis and Hosea Williams are brutally attacked by state troopers with tear gas and billy clubs on the Edmund Pettus Bridge on 'Bloody Sunday' (March 7). Reorganizing under federal protection, thousands march 54 miles to the state capitol in Montgomery by March 25.",https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?auto=format&fit=crop&w=1000&q=80
08/06/1965 AD,Passage of the Voting Rights Act of 1965,"Washington, D.C.","President Lyndon B. Johnson signs the landmark Voting Rights Act of 1965, prohibiting racial discrimination in voting practices. The law bans literacy tests, provides for federal oversight of voter registration in discriminatory jurisdictions, and secures the franchise for millions of minority citizens.",https://images.unsplash.com/photo-1541872703-74c5e44368f9?auto=format&fit=crop&w=1000&q=80
01/07/1966 - 08/26/1966 AD,Chicago Freedom Movement,"Chicago, Illinois","The SCLC and CCCO launch a campaign in Chicago expanding the civil rights struggle into Northern urban centers to combat segregated housing, educational disparities, and economic exploitation, culminating in the Chicago Fair Housing Agreement.",https://images.unsplash.com/photo-1560969184-10fe8719e047?auto=format&fit=crop&w=1000&q=80
10/15/1966 AD,Founding of the Black Panther Party,"Oakland, California","Huey P. Newton and Bobby Seale establish the Black Panther Party for Self-Defense in Oakland, California, advocating for community empowerment, self-defense against police brutality, and social programs including free breakfast for children.",https://images.unsplash.com/photo-1491557345352-5929e343eb89?auto=format&fit=crop&w=1000&q=80
